Temperature,Humidity,Wind_Speed,PM2.5,PM10,NO2,SO2,CO,O3,AQI
23.6,56.5,9.4,67.6,145.9,11.2,0,1.72,49.9,149
26.3,55.4,10.0,59.8,114.2,57.5,17.5,2.05,43.8,114
30.3,30.9,8.4,56.7,138.5,25.4,18.8,2.27,61.8,131
14.0,56.9,3.9,78.3,150.1,26.7,21.6,0.02,49.7,145
24.1,54.1,10.6,70.1,91.4,31.0,19.6,0.8,63.1,114
32.2,64.0,13.8,85.9,171.0,18.8,22.7,2.14,53.7,175
39.3,58.1,2.9,34.2,78.6,32.3,7.9,1.68,52.2,84
31.8,98.3,6.4,39.1,67.1,56.8,24.5,0.55,44.9,75
17.8,54.1,0.8,18.0,30.9,43.3,49.0,0.65,38.5,64
26.4,35.3,3.6,35.7,60.5,33.4,27.3,0.98,72.5,71
40.9,62.3,7.4,14.9,23.0,23.8,11.2,0.19,57.0,67
19.2,58.0,15.9,72.4,168.8,69.8,10.7,2.09,32.9,167
26.0,35.2,11.1,5.2,6.2,28.2,16.8,2.48,29.7,126
17.5,98.3,13.7,64.8,118.8,27.2,30.3,1.57,39.5,116
12.5,63.9,9.0,108.9,190.5,35.9,27.1,0.93,26.3,184
55.2,47.4,5.7,31.5,47.0,28.9,8.0,1.91,58.9,99
37.7,72.2,11.4,113.3,262.6,43.3,18.2,0.73,39.8,270
42.3,39.6,7.6,55.9,80.9,0,23.7,1.49,36.2,96
23.0,30.3,12.3,38.6,66.5,8.8,31.8,1.0,51.3,62
28.3,57.3,13.7,73.4,170.2,20.0,11.9,0.92,72.7,170
47.4,51.2,11.8,29.6,54.3,34.6,24.9,1.73,59.0,90
24.3,64.7,4.6,0,0.0,53.4,0.0,0.56,49.2,70
37.9,54.9,2.0,36.9,47.1,9.6,9.0,1.28,41.9,66
24.0,70.6,16.2,36.1,48.9,16.9,20.8,0.62,24.7,56
13.4,72.9,-1.6,45.4,66.5,26.9,7.8,0.05,50.3,74
33.3,60.1,8.1,0,0.0,48.6,21.2,1.25,43.3,74
40.1,32.0,8.0,55.3,126.2,22.1,1.8,2.16,48.3,135
25.9,51.0,17.0,56.6,76.4,26.0,24.9,1.63,40.1,101
23.6,46.8,7.4,28.1,51.6,62.0,4.2,1.7,50.4,85
25.8,63.8,2.9,47.6,91.2,62.8,13.7,1.05,70.6,96
35.3,45.7,13.3,8.3,11.5,42.0,21.2,2.15,31.8,114
